Date,Close
2016-11-24,24.27
2016-11-25,24.360001
2016-11-28,25.280001
2016-11-29,25.1
2016-11-30,24.440001
2016-12-01,24.110001
2016-12-02,24.83
2016-12-05,25.030001
2016-12-06,25.27
2016-12-07,25.27
2016-12-08,25.08
2016-12-09,24.450001
2016-12-12,24.719999
2016-12-13,25.309999
2016-12-14,24.809999
2016-12-15,22.75
2016-12-16,23.200001
2016-12-19,23.5
2016-12-20,23.370001
2016-12-21,23.370001
2016-12-22,23.4
2016-12-23,23.74
2016-12-28,25.059999
2016-12-29,27.32
2016-12-30,25.940001
2017-01-03,26.620001
2017-01-04,26.52
2017-01-05,27.719999
2017-01-06,26.85
2017-01-09,26.77
2017-01-10,26.99
2017-01-11,26.75
2017-01-12,26.370001
2017-01-13,26.889999
2017-01-16,26.959999
2017-01-17,27.129999
2017-01-18,27.280001
2017-01-19,27.77
2017-01-20,28.309999
2017-01-23,29.030001
2017-01-24,28.780001
2017-01-25,28.360001
2017-01-26,27.440001
2017-01-27,28.15
2017-01-30,27.85
2017-01-31,28.77
2017-02-01,28.870001
2017-02-02,28.91
2017-02-03,28.92
2017-02-06,29.700001
2017-02-07,29.860001
2017-02-08,30.01
2017-02-09,28.940001
2017-02-10,29.17
2017-02-13,29.02
2017-02-14,29.059999
2017-02-15,29.02
2017-02-16,28.540001
2017-02-17,28.219999
2017-02-21,28.07
2017-02-22,28.040001
2017-02-23,28.219999
2017-02-24,27.709999
2017-02-27,25.77
2017-02-28,25.870001
2017-03-01,26.34
2017-03-02,25.75
2017-03-03,26.030001
2017-03-06,25.860001
2017-03-07,25.629999
2017-03-08,25.51
2017-03-09,25.32
2017-03-10,25.969999
2017-03-13,26.15
2017-03-14,25.59
2017-03-15,26.809999
2017-03-16,26.77
2017-03-17,26.51
2017-03-20,26.690001
2017-03-21,26.559999
2017-03-22,28.559999
2017-03-23,27.51
2017-03-24,27.49
2017-03-27,28.139999
2017-03-28,27.690001
2017-03-29,27.34
2017-03-30,27.08
2017-03-31,27.709999
2017-04-03,28.309999
2017-04-04,28.540001
2017-04-05,28.540001
2017-04-06,28.57
2017-04-07,28.08
2017-04-10,28.110001
2017-04-11,29.02
2017-04-12,29.02
2017-04-13,29.120001
2017-04-17,29.309999
2017-04-18,29.309999
2017-04-19,28.59
2017-04-20,28.629999
2017-04-21,28.49
2017-04-24,28.309999
2017-04-25,27.34
2017-04-26,27.68
2017-04-27,27.110001
2017-04-28,27.24
2017-05-01,26.780001
2017-05-02,27.1
2017-05-03,26.67
2017-05-04,26.030001
2017-05-05,26.620001
2017-05-08,26.799999
2017-05-09,26.4
2017-05-10,26.700001
2017-05-11,27.370001
2017-05-12,28.290001
2017-05-15,28.530001
2017-05-16,29.26
2017-05-17,29.08
2017-05-18,28.57
2017-05-19,28.459999
2017-05-23,27.67
2017-05-24,27.870001
2017-05-25,27.82
2017-05-26,28.120001
2017-05-29,27.799999
2017-05-30,28
2017-05-31,27.6
2017-06-01,27.49
2017-06-02,27.540001
2017-06-05,27
2017-06-06,28.030001
2017-06-07,27.93
2017-06-08,27.85
2017-06-09,27.040001
2017-06-12,26.52
2017-06-13,26.440001
2017-06-14,25.58
2017-06-15,25.280001
2017-06-16,25.280001
2017-06-19,25.370001
2017-06-20,25.370001
2017-06-21,26.1
2017-06-22,26.379999
2017-06-23,26.82
2017-06-26,26.67
2017-06-27,26.540001
2017-06-28,26.549999
2017-06-29,25.75
2017-06-30,25.76
2017-07-04,24.77
2017-07-05,25.200001
2017-07-06,25.049999
2017-07-07,24.559999
2017-07-10,25.02
2017-07-11,25.280001
2017-07-12,24.790001
2017-07-13,24.389999
2017-07-14,24.59
2017-07-17,24.82
2017-07-18,24.620001
2017-07-19,24.620001
2017-07-20,25.15
2017-07-21,25.09
2017-07-24,24.549999
2017-07-25,24.559999
2017-07-26,25.209999
2017-07-27,25.360001
2017-07-28,25.5
2017-07-31,25.280001
2017-08-01,25.25
2017-08-02,25.129999
2017-08-03,25.049999
2017-08-04,24.76
